id,label,category,text
1095597318752137216,actualité,actualité,RT@ frenchweb: [INSIDERS] Robots livreurs : #SoftBank mise près d’un milliard de dollars sur Nuro https://t.co/CzsLBKT3T5 #Tech https://t.co/G2TosMwnlb
1095597327140732929,actualité,reaction,Si les francais excédés persistent à faire un vote de ras-le-bol au premier tour d'une élection pour ensuite rentrer dans le rang apeurés par les scénarios catastrophes des médias Macron fera 10 ans ou 15 peut-être(si interruption de 5 ans pour souffler)
1095597331343437825,actualité,actualité,"« Allô, les #pompiers ? Mon hamster a fait un malaise… » : ces appels qui empoisonnent le quotidien des pompiers https://t.co/bzMHcnFnlg"
1095597348099629056,spam,conversation,je me suis dit la meme chose
1095597364889432064,spam,conversation,Partout je vois leur photo oue doguracak oue hazirlaniyo eh ntm
1095597373290627073,spam,conversation,@GDeleur Je vais jeter la mienne à la mer aujourd'hui.
1095597377489113099,spam,conversation,@jacksonmukunda batu oyo il faut to lutter contre bango makasiiii
1095597390046711808,spam,other spam,"Si la #Vierge était une criminelle, elle serait... le chef d'un gang de malfaiteurs."
1095597390046916608,spam,other spam,"🚨Ⓓ - BAGAGE OUBLI��

Ligne D : ralenti

☞ De Goussainville vers Corbeil Essonnes et Melun via Combs��: ralenti jusqu����� 10:00.

#RERD
(13/02/19 09:09) https://t.co/VsjE8Gy1Vg"
1095597406853447684,spam,conversation,@luccassTV C'est grâce à que tu soit au pays🇯🇵 GG cette luck
1095597419427958785,spam,other spam,Rosier muscat du chili. Maintenant  l'applicateur fonctionne.
1095597423622320128,spam,conversation,"Qu’hier et demain reposent en paix.

#6mots"
1095597436175822851,spam,conversation,Chut le crie  pas trop fort on pourrait nous entendre
1095597448771366912,spam,publicité,"[#RH] Le directeur juridique, business partner incontournable dans l'#entreprise https://t.co/2VuVQ0PqFF. Un bon outil pour business partner : Copark for Work. Il permettra l'identification des voitures ventouses sur le #parking interne de l'entreprise https://t.co/cHB2fvJmar https://t.co/OfJ57MHU55"
1095597520091209728,spam,conversation,@Fleurlunique Hahahaha avec tout mon respect biensur 😂 je suis deja casé 🙇🏿‍♂️
1095597524281380869,spam,conversation,"@Pierlolo Mine radieuse hier soir. Yeux collés, cheveux mouillés et air aimable ce matin."
1095597541062819840,spam,conversation,Jurez ils ont gagné à Man Utd avec ça ?
1095597557848461313,spam,conversation,"@cinnamonfraize à ce qu'il paraît, c'est ton Fraizanniversaire. Bisouuuuus😙"
1095597570422919168,spam,conversation,@BFMTV ouf....on est sauvés
1095597595597123586,spam,publicité,Les équipes @SourcingDirs2s seront présentes au salon #Studyrama de Montpellier ce samedi. Venez avec vos #CVs et découvrez l'ensemble de nos offres #alternance pour la rentrée 2019 @enedis_LR https://t.co/OVWF2869In
1095597612365959168,spam,conversation,madame s'il vous plaît une chance
1095597624957304832,spam,conversation,"Pas pu aller travailler hier, 35 minutes en retard aujourd'hui. Merci le #RERB et merci aux décideurs tous autant qu'ils sont. Passé et présent.
Et merci également @RERB pour l'enfumage faisant office de communication.
'faites chier."
1095597637535977472,spam,conversation,@W9 Merci
1095597675259613184,spam,conversation,"Mon petit plaisir c'est de voir les gosses des autres faire des conneries.
Mélange de solidarité avec les parents, de justice universelle, et de fatalité ""tous pareils"".
🙄😁😎"
1095597708822355968,spam,conversation,"ptdr j’ai trouvé un remède pour la confiance en soi, c’est cadeau 😚 https://t.co/ccAWBD8KFA"
1095597713012416514,actualité,actualité,"Hausse des prix de l'électricité de 5,9% : le gouvernement joue la montre https://t.co/bpDewl2v9v https://t.co/fSwP25AIWp"
1095597721401085952,spam,conversation,"Je me suis rasé y a quatre jours et j’ai toujours pas une barbe de trois jours , c’est inacceptable"
1095597725603762176,spam,conversation,"Bonjour les parisiens, n'oubliez pas que les matchs retour peuvent être difficiles ! Bonne journée"
1095597746554355712,spam,conversation,"Trouver les responsables de l'abus de Goku
Je ne veux pas de ces images dans mon pays, cela me fait mal que les gens soient comme ça avec les animaux, s'il vous plaît, nous avons besoin d'un changement, pour nous améliorer en tant que société.... https://t.co/PQSrUad0FQ"
1095597838837268480,spam,conversation,Boffum
1095597855618842624,spam,conversation,"[PENSEES] Courant de ces dernières années, il a fallu que je prenne des décisions difficiles pour me protéger des ""personnes toxiques"" qui rendaient ma vie plus compliquée et difficile que nécessaire. Certaines... https://t.co/2g7a0eB1Vy"
1095597859808862208,spam,conversation,"@EllaSawyerBook Ça m'intéresse comme projet ! 

Au passage, j'ai un exemple : Stendhal et la Chartreuse de Parme, et les projets feuilletons. Pour le coup il fallait écrire vite et bien !"
1095597872408682496,spam,publicité,Découvrez comment se créer un capital santé et vivre une vie meilleure grâce à https://t.co/DVOcvD4Mzy. https://t.co/Gy3p21tlJN
1095597889190092800,spam,conversation,@JobCenter91448 Ja moin
1095597910136360960,spam,conversation,@barbarapompili @Le_Figaro Salut coucou comment allez  vous? Est ce que l'on peut fait connaissance?
1095597918550138880,spam,conversation,PTNNNNN jviens de me réveiller @marel000 😭😭😭😭😭
1095597931133054976,spam,conversation,@Mathiieu_msk 😭 courage champion
1095597947901919232,actualité,reaction,@RafikSmati L'Europe a déjà refusé le mariage Alsthom Siemens alors Airbus.....
1095597960480673792,spam,conversation,@CocktailFoot T'es malate min fut ?
1095597998220947456,spam,conversation,@paulo_krm Ducoup je rt
1095598014989783040,spam,conversation,une très belle matinée pour pleurer au réveil sur du whitney houston
1095598052738584577,actualité,actualité,"Le 12.02.2019, avec les collaborateurs, nous avons reçu M. Robert Masumbuko @rmasumbuko, Représentant résident de la BAD. Il  était accompagné de Mme Moukayi. Au cours de cette prise de contact, nous avons abordé des points spécifiques au #tourisme. https://t.co/9cTXxZeIYb"
1095598111492325381,spam,conversation,"Bonjour a tous , surtout a ceux qui ont Manger du mancuniens hier soir"
1095598136624582657,actualité,actualité,Certifier les données de l'entreprise à l'heure de l'IA et de blockchain https://t.co/fbJTcDM3NI
1095598149220122624,spam,conversation,@AmanteLilli @MrSirban Exquis délice gourmand
1095598153427050498,spam,publicité,Nouveau #job : Technicien de maintenance de parcs éoliens - Romilly sur Seine H/F Pour consulter plus d'offres : https://t.co/sbEQ2aomrO #emploi https://t.co/nTF5eEz8yD
1095598203762851840,spam,conversation,@WeAreMarmalade Audi
1095598203771240449,actualité,reaction,@BFMTV @sandrafellous_ Mais alors @EPhilippePM devrait avoir à cœur de dénoncer @TeamMacronPR pour avoir délibérément fabriqué une FakeNews #SalutNazi Hypocrisie suprême c’est la Rapporteuse de la manipulation de l’information @NaimaMoutchou qui colporte la #FakeNews 🤣 https://t.co/WeDX2NKBc7
1095598212155670528,spam,conversation,"@JESUISAROBAZ C'est une blague, je suis pas la voix de la raison"
1095598224717549568,spam,conversation,@LeJournaldAnais bonjour et bon mercredi @LeJournaldAnais  @anais_baydemir ...🌹🌞
1095598228937027585,spam,conversation,"Pour terminer Ole devra mettre en place une equipe avec Greenwood si vous voulez vraiment avoir une bonne attaque devant pogba

le plus faible du trio d'united entre Martial lingard rashford c'est lingard en faite

faut aussi voir comment lukaku va revenir la saison prochaine https://t.co/ba75qZNN3M"
1095598241503154176,spam,conversation,@BiondiSylvie J'ai travailler puis j'ai élevé 5 enfants et pour les aides il y a tellement de tracasseries que l'on préfère abandonner
1095598245714243584,spam,conversation,Mais quand je suis en avance j’arrive en retard
1095598291818033152,spam,conversation,"@FJeandinot @Skywilly_GSS Pardon c'etait en rapport au tweet original de Willy sur la foi en l'humanite, pas ta reponse :D Deso. Attention, je ne dis pas que les gens sont mechants ou font ca par pure motivation capitaliste. Je souhaitais juste nuancer un peu parce que je suis l'ambiance breaker."
1095598312793624577,spam,conversation,@ChachatAurore Moi je pars du principe que c'est pas parce qu'on aime pas quelqu'un qu'il faut lui souhaiter du malheur après voilà je t'avoue hier il m'a un peu saoulée parce qu'il y avait ma petite cousine de 6 ans qui regardait l'émission avec moi
1095598316988100609,spam,conversation,@roro_frdx @RomainCpe @LeoHerbomel désolé🤷🏼‍♀️
1095598316979736576,spam,conversation,PAR-FAIT. Me voilà satisfait.
1095598375716696064,spam,conversation,"@BeyeHabib et emmenes menes avec toi ! lui quand il parle on dirait les  pochtrons du pmu d'en bas: avant MUPSG ""sans neymar mbappe est perdu"" apres MUPSG ""mbappe repond aux rageux"" ! nan mes les mecs, vous avez pas honte de chier quand meme"
1095598384109547520,spam,conversation,@Anbadlo Ça va venir ☹️
1095598388320657408,spam,conversation,@Meriouma016 Bonjour Meriem 😊👋
1095598392502378496,spam,conversation,Les gars vous savez si au bataclan ils autorisent les batteries externes ??
1095598396696600577,spam,conversation,"@StanGuerini @HoudionE Sans l'ombre d'un doute, sans une seconde d'hésitation. 😃"
1095598417643012096,spam,conversation,L’Humanité essentielle au pluralisme !
1095598442821373952,spam,conversation,"@AStLouv Mais bien sûr j’abuse un peu c’est normal lol. Mais dans le fond je le surkiffe et il est largement meilleur que ce qu’on dit. C’est un top pr moi, techniquement, dans le placement, la relance, le vice pour son âge. Bref il est perfectible encore mais il gère largement"
1095598442808774656,spam,conversation,"@FloLevannier @GeraldineNakach @MicheleLaroque @AureAtika Merveilleux film, et merveilleuses actrice, une pensée pour Valérie, elle manque au cinéma."
1095598451230937088,spam,conversation,@YongHeda Moi j'y croirais quand elles le diront 😂😂
1095598455425298432,spam,conversation,Quand les regrets reviennent J'repense et j'tourne en rond Jamais plus je n'te dirai bébé reviens
1095598459607007232,spam,publicité,Vous avez une carte de donneur d'organes? Présentez-là ce vendredi lors de vos achats aux shops du #GSHC et bénéficiez de 10% de réduction jusqu'à la fin de la saison! #ProTransplant #EnsembleToujours https://t.co/IlErV60hIi
1095598467995570178,actualité,actualité,iPhon : Une conférence Apple prévue pour le 25 mars : focus sur de nouveaux services ? #ActualitéetavisiPhone #Apple https://t.co/hnHvMxuZmj
1095598472198275072,actualité,reaction,@Fournevay @lerenard001 @DuPouvoirDachat Il suffit de regarder les peines pour les chauffards ayant donné la mort
1095598497364103169,spam,conversation,@DukeFleed9 Et on est tjr trop Choupinou!!!😍😍
1095598501529075717,spam,conversation,"@jd_philippe @la_Bible Oui, si non l'humanité serait perdu à jamais."
1095598522538344448,spam,publicité,Une banque de sons gratuits — Enseigner avec le numérique par @speigne https://t.co/VOgasjwa2J via @pearltrees
